"ItemCode","Packing","BarCode","SPrice","Qty"
"1117","Pc","8886950073699","240","1"
"19888","Pc","8964000695241","50","1"
"19889","Pc","198891","100","1"
"19890","Pc","5053990160037","890","1"
"11091","Pc","6954842275857","160","1"
"11091","Pc","6954842275635","160","1"
"19891","Pc","6972603724895","190","1"
"11641","Pc","6954842288611","140","1"
"666","TIN","8961100001491","250","1"
"13240","JAR","7622201716417","590","1"
"19892","Box","1052020922069","1390","1"
"19893","Box","8234904831251","1060","1"
"19915","Pc","899432000029","135","1"
"19916","Pc","8961014031607","215","1"
"19917","Pc","8964000639740","230","1"
"19917","Pc","199172","230","1"
"19918","Box","199181","980","1"
"19918","Box","8964000640876","980","1"
"14460","Pc","8719281111764","1280","1"
"19919","Pc","199191","450","1"
"19920","Pc","8961102503542","80","1"
"19921","Pc","4426423270077","65","1"
"19944","POUCH","8961103501134","50","1"
"19945","POUCH","8961102504518","145","1"
"19946","POUCH","8961102504495","145","1"
"713","Pc","8964003018887","430","1"
"19947","Pkt","8964001050537","130","1"
"15594","Pkt","8964003062590","340","1"
"2335","Pump","4005808319725","1820","1"
"19948","Pc","1507000224973","245","1"
"19949","Pc","1507000224980","245","1"
"19950","Pc","1507000224997","245","1"
"19951","Pkt","8964003102555","130","1"
"19952","Pkt","4901331004124","825","1"
"19953","Pc","792625892879","340","1"
"19033","JAR","190332","2750","1"
"19954","Pc","8964000074855","350","1"
"19955","BOTTLE","8964000843000","1190","1"
"19956","Pc","8964000695227","50","1"
"19957","Pc","8964000695234","50","1"
"19091","SACHET","8963007860683","70","1"
"19958","Pc","199581","50","1"
"8745","Box","769503781426","170","1"
"18873","Box","769503783857","235","1"
"17726","Pc","8964002642809","95","1"
"19959","TIN","6972765930059","380","1"
"1546","SACHET","2022061500044","30","1"
"19960","Pc","199601","210","1"
"1113","JAR","0633152014528","460","1"
"17003","Pc","8210987651474","210","1"
"4323","SACHET","2019050786017","80","1"
"19961","Pc","8410522001065","790","1"
"19962","Pc","199621","590","1"
"19963","Pc","199631","390","1"
"19964","Pc","199641","490","1"
"19965","Pc","199651","540","1"
"19966","Pc","199661","690","1"
"20209","TIN","6281034001018","320","1"
"13822","Pc","3073781175660","920","1"
"20210","Pc","077043002179","1480","1"
"14310","Pc","8801051126808","330","1"
"6625","JAR","8999777890551","880","1"
"14163","Pc","8961100283569","610","1"
"16661","Pc","077043003466","890","1"
"20211","Pc","","890","1"
"7375","Pc","4005900540928","990","1"
"7375","Pc","4005808230860","990","1"
"7375","Pc","4005808719136","990","1"
"20215","Pc","5000198202809","370","1"
"20214","Pc","5000198205756","370","1"
"20213","Pc","018653005365","370","1"
"20212","Pc","018653005327","370","1"
"20216","Pkt","202161","360","1"
"20217","Pkt","202171","460","1"
"20218","Pkt","202181","1440","1"
"9706","Pump","8992856898592","1630","1"
"19997","Pc","6945507878032","390","1"
"11641","Pc","6954842288628","140","1"
"19998","Pc","7451251222506","90","1"
"20219","POUCH","8964000064245","610","1"
"20220","POUCH","8964000064023","420","1"
"298","Pc","8961008222776","80","1"
"20097","Pc","671866117067","40","1"
"20221","JAR","4426423272521","1245","1"
"20222","JAR","4426423272484","1245","1"
"20223","BOTTLE","8964000843901","220","1"
"20224","BOTTLE","8964000022603","550","1"
"379","Pc","4567995365560","485","1"
"20225","Pc","6165858300055","970","1"
"20226","Pc","6533411438772","90","1"
"6688","POUCH","8961103500281","100","1"
"15978","POUCH","8961103500410","50","1"
"451","Pc","8961100041145","440","1"
"19160","Pc","9200475782437","250","1"
"19161","Pc","8964000257845","520","1"
"9744","Pc","4710032503634","690","1"
"2822","BOTTLE","3574669907064","670","1"
"19163","Pc","8901248295468","360","1"
"19164","BOTTLE","8428916064091","820","1"
"17050","SACHET","4558385270182","120","1"
"17050","SACHET","4558385270168","120","1"
"804","POUCH","8961014262087","199","1"
"19165","Box","815096003206","265","1"
"14310","Pc","3574660482850","330","1"
"18825","Pc","6954842277851","130","1"
"18825","Pc","6954842277905","130","1"
"19166","Pc","2578745874593","460","1"
"14858","JAR","148582","260","1"
"18811","Pc","6423116321342","50","1"
"1366","Box","8964002527045","140","1"
"19169","Pc","191691","330","1"
"19170","Pc","745125126869","370","1"
"19170","Pc","745125122564","370","1"
"19170","Pc","745125126814","370","1"
"19374","Pc","193741","580","1"
"4486","Pkt","8961008221632","2950","1"
"19375","Pc","7509552847581","1330","1"
"19375","Pc","7509552847529","1330","1"
"19375","Pc","7509552845884","1330","1"
"19375","Pc","7509552847505","1330","1"
"19376","Pc","193761","820","1"
"19377","Pc","6294007501217","370","1"
"19377","Pc","6294007500210","370","1"
"19378","Pc","605202112225","220","1"
"19379","Pc","8999999052935","720","1"
"19380","Pc","8999999057978","1220","1"
"19381","Pc","8999999059927","1820","1"
"19382","Pc","8999999504687","1590","1"
"19383","Pc","8999999503697","1590","1"
"89","Pkt","620514020211","145","1"
"19384","Box","8964003590420","275","1"
"10977","Pc","131531754015","890","1"
"17413","cup","8801073211223","590","1"
"19385","JAR","8698740271549","760","1"
"19386","JAR","8698740274052","830","1"
"19387","Pc","228990","430","1"
"2790","Pc","0718122942978","35","1"
"6268","Pc","62682","30","1"
"6632","Box","7622202049972","9900","24"
"6632","Pc","7622202049989","430","1"
"7675","Box","8961008222110","2950","1"
"19388","Pc","3014260257194","230","1"
"19389","Pump","3574669908443","1690","1"
"20000","BOTTLE","6003770000632","1260","1"
"20001","Pc","8901030865701","160","1"
"20002","Pc","8851932355339","920","1"
"20003","Pc","5034660521877","840","1"
"20004","Pc","6294001815266","490","1"
"20005","Pc","6294002406326","940","1"
"20006","Pc","6294002406319","940","1"
"20007","Pc","6294002416110","385","1"
"20008","Pc","6294002407798","985","1"
"20009","Pc","8057711210022","1060","1"
"20010","Pc","8057711210305","1060","1"
"20011","Pc","017273504586","1590","1"
"20012","Pc","717273504592","1820","1"
"20013","Pc","717273504646","1820","1"
"20014","Pc","788821003461","245","1"
"13236","Pc","7622202399664","100","1"
"20015","Pc","6165858300093","840","1"
"20016","Pc","6165858300116","820","1"
"20017","Pc","0735816604769","430","1"
"20018","Pkt","200181","1320","1"
"20019","Pc","200191","1490","1"
"20020","Pc","200201","1890","1"
"17022","Box","5053990127726","980","1"
"5257","Box","5053990127740","980","1"
"11554","Pc","8857101129497","360","1"
"20021","Pc","9211212255237","185","1"
"20022","Pc","9211211312238","185","1"
"20023","Pc","4567995365683","340","1"
"18577","Pc","8569637942470","190","1"
"14418","Pc","8719281111634","1280","1"
"14423","Pc","8719281111405","1280","1"
"95","Pkt","620514019994","195","1"
"14238","Pc","8025337347248","1160","1"
"406","Box","8961006010030","390","1"
"8813","POUCH","0705632492857","560","1"
"17443","Pc","815096005736","100","1"
"16222","Box","769503781402","170","1"
"18208","Pc","5060453455524","520","1"
"18208","Pc","5060453455487","520","1"
"18208","Pc","5060453455463","520","1"
"18208","Pc","5060453455456","520","1"
"18208","Pc","5060453455470","520","1"
"18211","Pkt","4902430733274","190","1"
"18212","Pc","182121","360","1"
"14378","Pc","8718734854135","1280","1"
"18214","Pc","8964000885949","140","1"
"2641","Pc","26411","30","1"
"14851","Pc","6970195430453","290","1"
"18215","Pc","182151","360","1"
"18216","Pc","182161","140","1"
"18217","Pc","6260526422074","220","1"
"18217","Pc","6260526422050","220","1"
"18217","Pc","6260526424580","220","1"
"18217","Pc","6260526424597","220","1"
"18218","CTN","8964001386353","2950","5"
"18218","POUCH","8964001386315","590","1"
"16194","Pc","8964000585795","20","1"
"16195","Pc","8961100088034","30","1"
"16196","Pc","8964000585290","40","1"
"18219","Box","6253341407784","250","1"
"209","Pc","8886950072258","30","1"
"9710","Pc","8901248303125","920","1"
"18220","Pc","6518932998370","180","1"
"18221","Pc","182211","320","1"
"18223","POUCH","8961102501821","50","1"
"18224","Box","8964001189701","235","1"
"18225","Pc","9780201379709","480","1"
"18226","Pc","9780201379716","480","1"
"18227","Pc","9780201379693","480","1"
"18228","Pc","9932106547961","460","1"
"15703","POUCH","157032","970","1"
"18231","Box","8964002797288","115","1"
"18230","Box","8961103069771","290","1"
"18229","Box","","175","1"
"7779","Pc","8961014253863","540","1"
"6184","Box","61841","415","1"
"18232","Pc","695240104047","70","1"
"18232","Pc","182322","70","1"
"7673","Pc","8961008219974","740","1"
"18234","BOTTLE","8432688210631","790","1"
"18235","BOTTLE","8432688210624","1590","1"
"18236","Pc","8690632994895","395","1"
"9773","POUCH","6924565920587","290","1"
"18237","Pc","4902430851879","350","1"
"18238","Pc","6932237730686","590","1"
"18240","SACHET","858167000360","30","1"
"18241","Pc","8964002642922","180","1"
"18242","Pc","8964002642915","230","1"
"18243","Pc","8964000053171","125","1"
"7830","SACHET","8006540978313","20","1"
"2231","POUCH","8006540960035","285","1"
"18244","Box","8964003592011","290","1"
"18245","Pc","722776000403","650","1"
"11091","Pc","6920987841325","160","1"
"11091","Pc","6920987841349","160","1"
"11091","Pc","6920987841509","160","1"
"11091","Pc","6920987841356","160","1"
"10497","POUCH","8964003377342","115","1"
"18246","JAR","8698740273314","1260","1"
"18247","Pc","8990800021362","60","1"
"18247","Pc","8990800021386","60","1"
"10998","POUCH","8961014251630","530","1"
"17937","Pc","179371","250","1"
"17936","Pc","179361","180","1"
"12397","Pkt","36393763","360","1"
"17938","Pkt","179381","150","1"
"17939","Pkt","179391","470","1"
"17940","Pkt","179401","410","1"
"17590","CRATE","","580","12"
"17941","Pc","8980621753573","480","1"
"17942","Pc","9000866889925","500","1"
"17943","Pc","792625892862","230","1"
"17945","POUCH","8966000040373","100","1"
"17946","POUCH","8964002958313","70","1"
"17947","POUCH","8964003197278","130","1"
"17948","POUCH","8964003197261","130","1"
"17951","POUCH","8964003197346","140","1"
"17950","POUCH","8964000885956","140","1"
"17949","POUCH","8964003198923","140","1"
"17952","POUCH","725765102355","30","1"
"124","Box","8964002758814","310","1"
"17953","Pc","9879051595169","200","1"
"17954","Pc","9879051595152","400","1"
"12653","Pc","6291107451435","690","1"
"17956","POUCH","8964002619245","536","1"
"17956","CTN","8964002619399","2680","5"
"17957","POUCH","769503781020","50","1"
"17958","Box","769503782157","175","1"
"8984","Pc","8961008220642","630","1"
"305","BOTTLE","8964002809141","630","1"
"301","BOTTLE","8964002809196","550","1"
"17959","Pc","6931860112289","140","1"
"17960","Pc","3574661069210","350","1"
"968","Pc","8991111111971","640","1"
"17961","POUCH","7702018874293","1060","1"
"17962","Pc","5053990161607","450","1"
"17963","BOTTLE","3474636974429","5700","1"
"17965","JAR","3474636976072","6900","1"
"17966","Pc","3474636974320","4650","1"
"9781","Pump","3574661039725","1980","1"
"9781","Pump","3574661529240","1980","1"
"10548","Pc","6291110092984","430","1"
"10548","Pc","6291110100382","430","1"
"10548","Pc","6291110090720","430","1"
"17967","Pc","3610340668494","1750","1"
"17969","Pc","7622201732226","220","1"
"17969","Box","7622201721053","5100","24"
"17970","POUCH","8888296038486","390","1"
